starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 24 14:22:24 2016	1456341744	390	1497	1887	220
Wed Feb 24 14:22:23 2016	1456341743	383	1525	1907	234
Wed Feb 24 14:22:23 2016	1456341743	383	1530	1913	210
Wed Feb 24 14:22:23 2016	1456341743	402	1551	1953	195
Wed Feb 24 14:22:28 2016	1456341748	385	1575	1960	198
Wed Feb 24 14:22:23 2016	1456341743	438	1554	1992	240
Wed Feb 24 14:22:25 2016	1456341745	388	1631	2019	231
Wed Feb 24 14:22:22 2016	1456341742	385	1648	2032	200
Wed Feb 24 14:22:21 2016	1456341741	475	1567	2042	200
Wed Feb 24 14:22:25 2016	1456341745	374	1674	2048	216
Wed Feb 24 14:22:26 2016	1456341746	394	1654	2048	211
Wed Feb 24 14:22:21 2016	1456341741	410	1653	2064	208
Wed Feb 24 14:22:21 2016	1456341741	441	1624	2065	197
Wed Feb 24 14:22:26 2016	1456341746	393	1679	2072	190
Wed Feb 24 14:22:21 2016	1456341741	436	1645	2080	212
Wed Feb 24 14:22:21 2016	1456341741	471	1621	2092	181
Wed Feb 24 14:22:19 2016	1456341739	434	1671	2105	193
Wed Feb 24 14:22:26 2016	1456341746	382	1733	2116	205
Wed Feb 24 14:22:24 2016	1456341744	461	1664	2126	183
Wed Feb 24 14:22:25 2016	1456341745	399	1728	2127	187
Wed Feb 24 14:22:21 2016	1456341741	411	1738	2149	186
Wed Feb 24 14:22:25 2016	1456341745	384	1774	2157	211
Wed Feb 24 14:22:19 2016	1456341739	418	1747	2165	227
Wed Feb 24 14:22:26 2016	1456341746	401	1765	2166	220
Wed Feb 24 14:22:24 2016	1456341744	403	1766	2169	186
Wed Feb 24 14:22:19 2016	1456341739	392	1779	2171	223
Wed Feb 24 14:22:16 2016	1456341736	581	1592	2173	665
Wed Feb 24 14:22:24 2016	1456341744	466	1709	2174	219
Wed Feb 24 14:22:19 2016	1456341739	445	1730	2175	202
Wed Feb 24 14:22:19 2016	1456341739	421	1755	2177	205
Wed Feb 24 14:22:25 2016	1456341745	390	1789	2178	248
Wed Feb 24 14:22:21 2016	1456341741	394	1785	2179	233
Wed Feb 24 14:22:28 2016	1456341748	374	1805	2179	194
Wed Feb 24 14:22:27 2016	1456341747	373	1816	2190	193
Wed Feb 24 14:22:26 2016	1456341746	383	1813	2196	191
Wed Feb 24 14:22:27 2016	1456341747	391	1813	2204	200
Wed Feb 24 14:22:26 2016	1456341746	378	1826	2204	207
Wed Feb 24 14:22:19 2016	1456341739	458	1747	2204	260
Wed Feb 24 14:22:24 2016	1456341744	412	1794	2206	197
Wed Feb 24 14:22:19 2016	1456341739	387	1820	2206	228
Wed Feb 24 14:22:21 2016	1456341741	447	1761	2208	243
Wed Feb 24 14:22:24 2016	1456341744	486	1723	2209	228
Wed Feb 24 14:22:19 2016	1456341739	420	1790	2210	214
Wed Feb 24 14:22:24 2016	1456341744	493	1726	2219	227
Wed Feb 24 14:22:25 2016	1456341745	449	1798	2247	231
Wed Feb 24 14:22:26 2016	1456341746	383	1864	2247	242
Wed Feb 24 14:22:19 2016	1456341739	498	1758	2255	227
Wed Feb 24 14:22:19 2016	1456341739	476	1787	2263	197
Wed Feb 24 14:22:19 2016	1456341739	460	1807	2267	205
Wed Feb 24 14:22:19 2016	1456341739	450	1817	2267	208
Wed Feb 24 14:22:19 2016	1456341739	442	1832	2274	254
Wed Feb 24 14:22:19 2016	1456341739	379	1901	2280	244
Wed Feb 24 14:22:23 2016	1456341743	455	1833	2288	200
Wed Feb 24 14:22:24 2016	1456341744	453	1848	2302	202
Wed Feb 24 14:22:23 2016	1456341743	482	1825	2307	244
Wed Feb 24 14:22:19 2016	1456341739	436	1875	2312	276
Wed Feb 24 14:22:27 2016	1456341747	385	1950	2335	289
Wed Feb 24 14:22:19 2016	1456341739	549	1808	2356	215
Wed Feb 24 14:22:19 2016	1456341739	442	1950	2392	188
Wed Feb 24 14:22:25 2016	1456341745	458	1955	2413	237
Wed Feb 24 14:22:27 2016	1456341747	459	1960	2420	210
Wed Feb 24 14:22:25 2016	1456341745	488	1939	2426	220
Wed Feb 24 14:22:16 2016	1456341736	463	1966	2429	186
Wed Feb 24 14:22:24 2016	1456341744	386	2054	2440	201
Wed Feb 24 14:22:25 2016	1456341745	427	2083	2511	233
Wed Feb 24 14:22:27 2016	1456341747	444	2122	2566	224
Wed Feb 24 14:22:25 2016	1456341745	393	2229	2622	197
Wed Feb 24 14:22:19 2016	1456341739	391	2251	2642	331
Wed Feb 24 14:22:19 2016	1456341739	379	2324	2703	174
Wed Feb 24 14:22:16 2016	1456341736	447	2289	2736	242
Wed Feb 24 14:22:16 2016	1456341736	535	2214	2750	184
Wed Feb 24 14:22:16 2016	1456341736	517	2234	2751	209
Wed Feb 24 14:22:16 2016	1456341736	525	2236	2761	208
Wed Feb 24 14:22:16 2016	1456341736	483	2292	2776	193
Wed Feb 24 14:22:16 2016	1456341736	461	2317	2778	185
Wed Feb 24 14:22:16 2016	1456341736	499	2285	2784	215
Wed Feb 24 14:22:16 2016	1456341736	472	2317	2788	247
Wed Feb 24 14:22:16 2016	1456341736	541	2272	2814	191
Wed Feb 24 14:22:21 2016	1456341741	376	2444	2820	191
Wed Feb 24 14:22:16 2016	1456341736	511	2315	2826	208
Wed Feb 24 14:22:16 2016	1456341736	482	2396	2878	210
Wed Feb 24 14:22:25 2016	1456341745	398	2484	2882	210
Wed Feb 24 14:22:16 2016	1456341736	531	2352	2883	200
Wed Feb 24 14:22:21 2016	1456341741	389	2504	2893	214
Wed Feb 24 14:22:16 2016	1456341736	491	2404	2895	192
Wed Feb 24 14:22:16 2016	1456341736	553	2349	2902	191
Wed Feb 24 14:22:21 2016	1456341741	424	2496	2920	222
Wed Feb 24 14:22:16 2016	1456341736	583	2367	2950	232
Wed Feb 24 14:22:16 2016	1456341736	523	2453	2976	319
Wed Feb 24 14:22:21 2016	1456341741	373	2610	2982	212
Wed Feb 24 14:22:16 2016	1456341736	476	2527	3003	338
Wed Feb 24 14:22:21 2016	1456341741	379	2649	3029	208
Wed Feb 24 14:22:16 2016	1456341736	463	2648	3110	225
Wed Feb 24 14:22:22 2016	1456341742	405	2878	3283	1009
Wed Feb 24 14:22:22 2016	1456341742	440	2910	3350	985
Wed Feb 24 14:22:22 2016	1456341742	1093	2274	3367	229
Wed Feb 24 14:22:22 2016	1456341742	1081	2343	3424	249
Wed Feb 24 14:22:21 2016	1456341741	455	2986	3442	1007
Wed Feb 24 14:22:19 2016	1456341739	715	2818	3534	194
Wed Feb 24 14:22:26 2016	1456341746	386	4781	5167	4006
